Date,0,1,2,3,4,5,6,7,K-Means
2018-04-18 12:00:00,0.096087225,0.011846434,-0.016452912,0.41293657,-0.45022193,0.048669823,0.3826925,0.33505788,5
2018-02-16 12:00:00,-0.06430065,-0.21797462,0.16942185,0.41736528,-0.43144676,0.048781604,0.6041082,0.15447824,5
2018-03-30 20:00:00,-0.01496891,0.11943014,-0.55225927,-0.0020747916,0.105869934,-0.29482463,-0.2891938,0.0412917,6
2018-10-03 20:00:00,-0.1353721,-0.18873952,0.4861166,-0.13915108,0.15330103,0.45200723,0.19167642,-0.36856428,3
2017-11-21 20:00:00,-0.051383898,-0.31724337,-0.06745035,-0.25600064,-0.1326984,-0.38279137,0.024301542,0.5019895,0
2018-07-02 12:00:00,-0.08921638,-0.0026094024,0.000163028,0.42499113,-0.14582305,0.16904049,0.2537229,-0.32821152,3
2018-07-27 20:00:00,-0.089553885,0.028128719,0.38854945,0.113895915,-0.23327285,0.42894512,0.38181648,-0.19812223,3
2018-09-14 08:00:00,-0.049132925,0.0015345045,0.32000345,0.28139868,-0.0007209669,0.4488654,0.3671621,-0.40762258,3
2018-06-07 04:00:00,-0.08419539,0.063643366,-0.36793444,-0.2941691,0.3594696,0.41135487,-0.5391076,-0.36668086,6
2017-10-10 04:00:00,0.18188272,-0.1741944,-0.16243368,0.3283824,-0.086425476,-0.55962867,0.16157883,0.4019045,0
2017-08-24 20:00:00,-0.15401556,-0.15726665,-0.27569652,0.0322696,0.1699279,0.47369638,-0.41650316,-0.35249886,4
2017-12-14 16:00:00,-0.090393834,0.023659013,-0.3950336,0.102194965,0.0753809,0.33384952,-0.36571005,-0.2595022,4
2018-04-09 08:00:00,-0.15461661,0.05715125,-0.0401763,-0.22539294,0.0043751025,0.5011129,0.15427493,-0.25168848,1
2017-07-06 16:00:00,-0.036156505,0.062154748,-0.067280725,0.08120249,-0.27071884,0.27805516,0.3116319,0.024096435,5
2017-08-31 16:00:00,0.16865058,-0.089425385,0.099083185,-0.24625783,0.106582776,-0.48986647,0.115259506,0.41662928,7
2018-04-11 20:00:00,-0.071428224,0.12517883,0.128368,0.3954853,-0.064991064,0.2921851,0.13846073,-0.36335954,3
2018-03-07 16:00:00,0.07133227,0.1722326,-0.42088336,0.013915817,0.15186556,-0.35955468,-0.19821212,0.030474588,7
2017-12-11 04:00:00,0.20379388,-0.03645866,-0.10169611,-0.010798453,0.30194098,-0.5723107,-0.14363615,0.22388041,7
2017-06-16 16:00:00,0.0007433852,-0.27808034,0.117148176,-0.13196558,0.22838299,0.3886136,-0.12775163,-0.0718084,1
2018-06-22 20:00:00,0.25899374,0.24735466,-0.31577355,0.087555535,0.23891738,-0.32316443,-0.28987575,-0.015369396,7
2018-05-21 16:00:00,0.009553561,-0.39017475,0.20243396,-0.35954437,0.22650576,0.17332602,-0.07420369,0.09338562,2
2018-09-24 08:00:00,0.008247471,-0.02557135,0.34479865,0.037108317,-0.058588907,0.5790785,0.32459888,-0.19631013,3
2018-03-23 00:00:00,-0.05505349,0.023514526,0.11612254,0.3859433,-0.05958005,0.37093183,0.19764441,-0.37438014,3
2018-07-16 16:00:00,0.09531807,0.2780221,-0.2992615,0.24091054,-0.029710032,-0.07775629,-0.23379937,-0.07769149,4
2018-07-04 12:00:00,-0.25475582,-0.2858889,-0.070450045,-0.12560478,0.24504124,0.51412845,-0.06384253,-0.45493388,1
2017-11-22 12:00:00,-0.031218216,-0.016583119,-0.50732166,-0.014585469,0.15979156,-0.12945816,-0.44993266,-0.023688834,6
2017-06-07 00:00:00,-0.025190605,0.19617654,-0.15596797,0.24899355,-0.150075,0.44757748,-0.044216756,-0.26824805,4
2018-05-14 12:00:00,-0.07375426,0.008296378,0.4334264,0.08720459,0.054661784,0.5239039,0.24732468,-0.4340328,3
2017-11-17 04:00:00,-0.00096470636,0.1806794,-0.4708129,-0.16451292,0.22330482,-0.046645813,-0.44676462,-0.025495267,6
2018-03-26 12:00:00,-0.14211275,-0.112899005,0.16735722,-0.03137028,0.19420013,0.5565874,-0.046934932,-0.50405705,1
2018-03-19 00:00:00,0.31095257,0.2417799,0.018934539,-0.15761404,0.29481232,-0.50403154,-0.13816367,0.13591012,7
2018-09-17 12:00:00,-0.08792815,-0.3169881,0.36399612,-0.21774073,0.004915465,0.4057426,0.4098832,-0.079004735,3
2017-06-13 00:00:00,-0.17401183,-0.23054677,-0.09659235,0.3862147,-0.24470225,-0.10038506,0.4035699,-0.018400107,5
2017-06-19 00:00:00,-0.22777943,-0.4210847,-0.30759555,-0.3507839,0.2432956,0.20598839,-0.46802026,-0.07850908,6
2017-07-07 08:00:00,0.0016334824,0.3501131,-0.0939541,-0.36729744,0.41876876,0.57961386,-0.3999747,-0.58094984,1
