,0-OnTrain,1-OnTrain,2-OnTrain,3-OnTrain,4-OnTrain,5-OnTrain,6-OnTrain,7-OnTrain,8-OnTrain,9-OnTrain,10-OnTrain,11-OnTrain,K-Means
0,-0.022912636,0.013672186000000001,-0.007588511,0.02563223,-0.057426165999999994,0.01169465,-0.054893155,0.006556518000000001,0.015174036,-0.00145724,0.002296524,-0.003964925,5
1,0.0010186330000000001,0.023714535,-0.034242265,0.026127405,-0.0463968,-0.029160892999999997,-0.021187015,-0.006222529,0.019696161,0.020236757,0.03235114,0.028010287999999998,5
2,-0.005543490999999999,0.016105667,-0.034873743,-0.005198094,-0.054000455999999995,-0.02137277,-0.017582499999999997,0.01702794,-0.051786862,-0.001375851,0.008823488,0.03979274,3
3,0.004617279,-0.008377617,0.018323584,-0.018325139,0.08669319,0.06984726,0.022375092000000003,-0.021088632000000003,-0.024600848999999998,0.009428296999999999,0.017488014,-0.0035312720000000002,1
4,0.010305436999999999,-0.024640929,-0.0028665340000000004,0.011266449,-0.053633455,-0.026195593,-0.016657194,-0.000531197,-0.032921486,0.04326734,-0.001115042,0.004106557,3
5,-0.004282808,-0.018243538,-0.039422616,-0.021463055,-0.061145414,-0.060010053,0.03342388,-0.005525357,-0.008337251,-0.0017657039999999999,0.019352002,-0.005991031,0
6,0.019975534,-0.026705613,-0.020908969,-0.045689993,0.05257633,0.046566054,0.006043722,-1.6100000000000002e-05,0.055150267,-0.03333407,0.00213572,-0.0021366239999999997,6
7,-0.002638418,-0.032604188,-0.012633146000000001,0.03013746,0.03738864,0.016962154,-0.013209423,-0.011726782,0.04274582,-0.03341435,-0.02020426,-0.05484169,6
8,0.004523353,0.01023079,-0.0196831,0.016445415,-0.059576273,-0.029806625,-0.027601384,0.015092278999999998,-0.042342924000000004,0.012040628000000001,0.004405617,0.02817659,3
9,-0.0064991369999999994,0.042522847999999995,-0.001874952,0.029639825,0.020870296,0.001229327,-0.003758143,0.025654212000000003,0.0062716659999999995,0.03515899,0.007545176999999999,0.040354162,4
